Province_State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
N,"4,903,185","731,545","7,278,717","3,017,804","39,512,223","5,758,736","3,565,287","973,764","705,749","21,477,737","10,617,423","1,415,872","1,787,065","12,671,821","6,732,219","3,155,070","2,913,314","4,467,673","4,648,794","1,344,212","6,045,680","6,892,503","9,986,857","5,639,632","2,976,149","6,137,428","1,068,778","1,934,408","3,080,156","1,359,711","8,882,190","2,096,829","19,453,561","10,488,084","762,062","11,689,100","3,956,971","4,217,737","12,801,989","1,059,361","5,148,714","884,659","6,829,174","28,995,881","3,205,958","623,989","8,535,519","7,614,893","1,792,147","5,822,434","578,759"
dt_lockdown,3/13/20,3/16/20,3/16/20,3/17/20,3/17/20,3/18/20,3/15/20,3/16/20,3/25/20,4/1/20,4/2/20,3/17/20,3/18/20,3/21/20,3/16/20,3/17/20,3/16/20,3/16/20,3/16/20,3/18/20,3/16/20,3/17/20,3/24/20,3/17/20,,4/6/20,3/28/20,3/16/20,3/17/20,3/27/20,3/16/20,3/23/20,3/16/20,3/17/20,,3/15/20,,3/16/20,3/16/20,3/17/20,4/6/20,,3/30/20,,,3/25/20,3/30/20,3/15/20,3/25/20,3/25/20,
